List Type,List Size,Algorithm,Run Time
Nearly Sorted Data,10,Bubble Sort,0.00000902
Nearly Sorted Data,10,Bubble Sort,0.00000871
Nearly Sorted Data,10,Bubble Sort,0.00000299
Nearly Sorted Data,10,Bubble Sort,0.00000368
Nearly Sorted Data,10,Bubble Sort,0.00000772
Nearly Sorted Data,10,Bubble Sort,0.00000649
Nearly Sorted Data,10,Bubble Sort,0.00000728
Nearly Sorted Data,10,Bubble Sort,0.00000257
Nearly Sorted Data,10,Bubble Sort,0.00000345
Nearly Sorted Data,10,Bubble Sort,0.00000343
Nearly Sorted Data,10,Bubble Sort,0.00000250
Nearly Sorted Data,10,Bubble Sort,0.00000653
Nearly Sorted Data,10,Bubble Sort,0.00000501
Nearly Sorted Data,10,Bubble Sort,0.00000710
Nearly Sorted Data,10,Bubble Sort,0.00000600
Nearly Sorted Data,10,Bubble Sort,0.00000595
Nearly Sorted Data,10,Bubble Sort,0.00000233
Nearly Sorted Data,10,Bubble Sort,0.00000539
Nearly Sorted Data,10,Bubble Sort,0.00000334
Nearly Sorted Data,10,Bubble Sort,0.00000256
Nearly Sorted Data,10,Bubble Sort,0.00000245
Nearly Sorted Data,10,Bubble Sort,0.00000238
Nearly Sorted Data,10,Bubble Sort,0.00000570
Nearly Sorted Data,10,Bubble Sort,0.00000248
Nearly Sorted Data,10,Bubble Sort,0.00000237
Nearly Sorted Data,10,Bubble Sort,0.00000358
Nearly Sorted Data,10,Bubble Sort,0.00000751
Nearly Sorted Data,10,Bubble Sort,0.00000597
Nearly Sorted Data,10,Bubble Sort,0.00000372
Nearly Sorted Data,10,Bubble Sort,0.00000565
Nearly Sorted Data,10,Bubble Sort,0.00000704
Nearly Sorted Data,10,Bubble Sort,0.00000341
Nearly Sorted Data,10,Bubble Sort,0.00000341
Nearly Sorted Data,10,Bubble Sort,0.00000330
Nearly Sorted Data,10,Bubble Sort,0.00001288
Nearly Sorted Data,10,Bubble Sort,0.00000505
Nearly Sorted Data,10,Bubble Sort,0.00000461
Nearly Sorted Data,10,Bubble Sort,0.00000356
Nearly Sorted Data,10,Bubble Sort,0.00001092
Nearly Sorted Data,10,Bubble Sort,0.00000381
Nearly Sorted Data,10,Bubble Sort,0.00000806
Nearly Sorted Data,10,Bubble Sort,0.00000508
Nearly Sorted Data,10,Bubble Sort,0.00000762
Nearly Sorted Data,10,Bubble Sort,0.00000449
Nearly Sorted Data,10,Bubble Sort,0.00000250
Nearly Sorted Data,10,Bubble Sort,0.00000710
Nearly Sorted Data,10,Bubble Sort,0.00000339
Nearly Sorted Data,10,Bubble Sort,0.00000570
Nearly Sorted Data,10,Bubble Sort,0.00000574
Nearly Sorted Data,10,Bubble Sort,0.00000363
Nearly Sorted Data,10,Bubble Sort,0.00000455
Nearly Sorted Data,10,Bubble Sort,0.00000501
Nearly Sorted Data,10,Bubble Sort,0.00000548
Nearly Sorted Data,10,Bubble Sort,0.00000568
Nearly Sorted Data,10,Bubble Sort,0.00000666
Nearly Sorted Data,10,Bubble Sort,0.00000262
Nearly Sorted Data,10,Bubble Sort,0.00000258
Nearly Sorted Data,10,Bubble Sort,0.00000430
Nearly Sorted Data,10,Bubble Sort,0.00000357
Nearly Sorted Data,10,Bubble Sort,0.00000677
