List Type,List Size,Algorithm,Run Time
Duplicates Data,10,Bubble Sort,0.00001116
Duplicates Data,10,Bubble Sort,0.00001359
Duplicates Data,10,Bubble Sort,0.00000883
Duplicates Data,10,Bubble Sort,0.00000826
Duplicates Data,10,Bubble Sort,0.00000803
Duplicates Data,10,Bubble Sort,0.00001046
Duplicates Data,10,Bubble Sort,0.00000986
Duplicates Data,10,Bubble Sort,0.00000978
Duplicates Data,10,Bubble Sort,0.00000519
Duplicates Data,10,Bubble Sort,0.00000870
Duplicates Data,10,Bubble Sort,0.00000978
Duplicates Data,10,Bubble Sort,0.00000818
Duplicates Data,10,Bubble Sort,0.00000879
Duplicates Data,10,Bubble Sort,0.00001561
Duplicates Data,10,Bubble Sort,0.00000945
Duplicates Data,10,Bubble Sort,0.00000958
Duplicates Data,10,Bubble Sort,0.00000684
Duplicates Data,10,Bubble Sort,0.00000759
Duplicates Data,10,Bubble Sort,0.00000632
Duplicates Data,10,Bubble Sort,0.00000730
Duplicates Data,10,Bubble Sort,0.00000883
Duplicates Data,10,Bubble Sort,0.00000991
Duplicates Data,10,Bubble Sort,0.00000913
Duplicates Data,10,Bubble Sort,0.00001254
Duplicates Data,10,Bubble Sort,0.00000854
Duplicates Data,10,Bubble Sort,0.00000844
Duplicates Data,10,Bubble Sort,0.00000842
Duplicates Data,10,Bubble Sort,0.00000632
Duplicates Data,10,Bubble Sort,0.00000630
Duplicates Data,10,Bubble Sort,0.00000958
Duplicates Data,10,Bubble Sort,0.00000836
Duplicates Data,10,Bubble Sort,0.00000866
Duplicates Data,10,Bubble Sort,0.00000901
Duplicates Data,10,Bubble Sort,0.00000746
Duplicates Data,10,Bubble Sort,0.00000876
Duplicates Data,10,Bubble Sort,0.00000740
Duplicates Data,10,Bubble Sort,0.00000884
Duplicates Data,10,Bubble Sort,0.00000946
Duplicates Data,10,Bubble Sort,0.00000843
Duplicates Data,10,Bubble Sort,0.00000471
Duplicates Data,10,Bubble Sort,0.00000832
Duplicates Data,10,Bubble Sort,0.00001054
Duplicates Data,10,Bubble Sort,0.00001054
Duplicates Data,10,Bubble Sort,0.00000775
Duplicates Data,10,Bubble Sort,0.00000780
Duplicates Data,10,Bubble Sort,0.00000757
Duplicates Data,10,Bubble Sort,0.00000597
Duplicates Data,10,Bubble Sort,0.00000943
Duplicates Data,10,Bubble Sort,0.00000813
Duplicates Data,10,Bubble Sort,0.00000928
Duplicates Data,10,Bubble Sort,0.00000671
Duplicates Data,10,Bubble Sort,0.00000873
Duplicates Data,10,Bubble Sort,0.00000600
Duplicates Data,10,Bubble Sort,0.00000803
Duplicates Data,10,Bubble Sort,0.00000892
Duplicates Data,10,Bubble Sort,0.00000814
Duplicates Data,10,Bubble Sort,0.00000825
Duplicates Data,10,Bubble Sort,0.00000792
Duplicates Data,10,Bubble Sort,0.00000891
Duplicates Data,10,Bubble Sort,0.00000752
Duplicates Data,10,Bubble Sort,0.00000793
Duplicates Data,10,Bubble Sort,0.00000383
Duplicates Data,10,Bubble Sort,0.00000816
Duplicates Data,10,Bubble Sort,0.00000743
Duplicates Data,10,Bubble Sort,0.00000835
Duplicates Data,10,Bubble Sort,0.00000865
Duplicates Data,10,Bubble Sort,0.00000627
Duplicates Data,10,Bubble Sort,0.00000573
Duplicates Data,10,Bubble Sort,0.00000976
Duplicates Data,10,Bubble Sort,0.00000550
Duplicates Data,10,Bubble Sort,0.00000775
Duplicates Data,10,Bubble Sort,0.00000719
Duplicates Data,10,Bubble Sort,0.00000891
Duplicates Data,10,Bubble Sort,0.00000816
Duplicates Data,10,Bubble Sort,0.00000705
Duplicates Data,10,Bubble Sort,0.00000756
Duplicates Data,10,Bubble Sort,0.00000746
Duplicates Data,10,Bubble Sort,0.00000875
Duplicates Data,10,Bubble Sort,0.00000829
Duplicates Data,10,Bubble Sort,0.00000875
Duplicates Data,10,Bubble Sort,0.00000850
Duplicates Data,10,Bubble Sort,0.00000869
Duplicates Data,10,Bubble Sort,0.00000500
Duplicates Data,10,Bubble Sort,0.00000597
Duplicates Data,10,Bubble Sort,0.00000664
Duplicates Data,10,Bubble Sort,0.00000411
Duplicates Data,10,Bubble Sort,0.00000766
Duplicates Data,10,Bubble Sort,0.00000790
Duplicates Data,10,Bubble Sort,0.00000595
Duplicates Data,10,Bubble Sort,0.00000828
Duplicates Data,10,Bubble Sort,0.00000880
Duplicates Data,10,Bubble Sort,0.00000868
Duplicates Data,10,Bubble Sort,0.00000838
Duplicates Data,10,Bubble Sort,0.00000724
Duplicates Data,10,Bubble Sort,0.00000778
Duplicates Data,10,Bubble Sort,0.00000874
Duplicates Data,10,Bubble Sort,0.00000923
Duplicates Data,10,Bubble Sort,0.00000929
Duplicates Data,10,Bubble Sort,0.00001012
Duplicates Data,10,Bubble Sort,0.00000645
Duplicates Data,10,Bubble Sort,0.00000846
Duplicates Data,10,Bubble Sort,0.00000823
Duplicates Data,10,Bubble Sort,0.00000890
Duplicates Data,10,Bubble Sort,0.00000741
Duplicates Data,10,Bubble Sort,0.00000757
