List Type,List Size,Algorithm,Run Time
Nearly Sorted Data,10,Bubble Sort,0.00001284
Nearly Sorted Data,10,Bubble Sort,0.00000813
Nearly Sorted Data,10,Bubble Sort,0.00000423
Nearly Sorted Data,10,Bubble Sort,0.00000610
Nearly Sorted Data,10,Bubble Sort,0.00000762
Nearly Sorted Data,10,Bubble Sort,0.00000938
Nearly Sorted Data,10,Bubble Sort,0.00000755
Nearly Sorted Data,10,Bubble Sort,0.00000279
Nearly Sorted Data,10,Bubble Sort,0.00000249
Nearly Sorted Data,10,Bubble Sort,0.00000555
Nearly Sorted Data,10,Bubble Sort,0.00000255
Nearly Sorted Data,10,Bubble Sort,0.00000565
Nearly Sorted Data,10,Bubble Sort,0.00000524
Nearly Sorted Data,10,Bubble Sort,0.00000560
Nearly Sorted Data,10,Bubble Sort,0.00000684
Nearly Sorted Data,10,Bubble Sort,0.00000638
Nearly Sorted Data,10,Bubble Sort,0.00000542
Nearly Sorted Data,10,Bubble Sort,0.00000783
Nearly Sorted Data,10,Bubble Sort,0.00000812
Nearly Sorted Data,10,Bubble Sort,0.00000252
Nearly Sorted Data,10,Bubble Sort,0.00000372
Nearly Sorted Data,10,Bubble Sort,0.00000540
Nearly Sorted Data,10,Bubble Sort,0.00000270
Nearly Sorted Data,10,Bubble Sort,0.00000253
Nearly Sorted Data,10,Bubble Sort,0.00000365
Nearly Sorted Data,10,Bubble Sort,0.00000782
Nearly Sorted Data,10,Bubble Sort,0.00000621
Nearly Sorted Data,10,Bubble Sort,0.00000441
Nearly Sorted Data,10,Bubble Sort,0.00000622
Nearly Sorted Data,10,Bubble Sort,0.00000518
Nearly Sorted Data,10,Bubble Sort,0.00000376
Nearly Sorted Data,10,Bubble Sort,0.00000760
Nearly Sorted Data,10,Bubble Sort,0.00000436
Nearly Sorted Data,10,Bubble Sort,0.00000372
Nearly Sorted Data,10,Bubble Sort,0.00000671
Nearly Sorted Data,10,Bubble Sort,0.00000431
Nearly Sorted Data,10,Bubble Sort,0.00000271
Nearly Sorted Data,10,Bubble Sort,0.00000274
Nearly Sorted Data,10,Bubble Sort,0.00000744
Nearly Sorted Data,10,Bubble Sort,0.00000245
Nearly Sorted Data,10,Bubble Sort,0.00000821
Nearly Sorted Data,10,Bubble Sort,0.00000602
Nearly Sorted Data,10,Bubble Sort,0.00000431
Nearly Sorted Data,10,Bubble Sort,0.00000740
Nearly Sorted Data,10,Bubble Sort,0.00000554
Nearly Sorted Data,10,Bubble Sort,0.00000690
Nearly Sorted Data,10,Bubble Sort,0.00000555
Nearly Sorted Data,10,Bubble Sort,0.00000429
Nearly Sorted Data,10,Bubble Sort,0.00000509
Nearly Sorted Data,10,Bubble Sort,0.00001209
Nearly Sorted Data,10,Bubble Sort,0.00000433
Nearly Sorted Data,10,Bubble Sort,0.00000668
Nearly Sorted Data,10,Bubble Sort,0.00000553
Nearly Sorted Data,10,Bubble Sort,0.00000488
Nearly Sorted Data,10,Bubble Sort,0.00000305
Nearly Sorted Data,10,Bubble Sort,0.00000480
Nearly Sorted Data,10,Bubble Sort,0.00000747
Nearly Sorted Data,10,Bubble Sort,0.00000355
Nearly Sorted Data,10,Bubble Sort,0.00000690
Nearly Sorted Data,10,Bubble Sort,0.00000464
Nearly Sorted Data,10,Bubble Sort,0.00000467
Nearly Sorted Data,10,Bubble Sort,0.00000665
Nearly Sorted Data,10,Bubble Sort,0.00000246
Nearly Sorted Data,10,Bubble Sort,0.00000539
Nearly Sorted Data,10,Bubble Sort,0.00000727
Nearly Sorted Data,10,Bubble Sort,0.00000242
Nearly Sorted Data,10,Bubble Sort,0.00000365
Nearly Sorted Data,10,Bubble Sort,0.00000338
Nearly Sorted Data,10,Bubble Sort,0.00000702
Nearly Sorted Data,10,Bubble Sort,0.00000280
Nearly Sorted Data,10,Bubble Sort,0.00000382
Nearly Sorted Data,10,Bubble Sort,0.00000251
Nearly Sorted Data,10,Bubble Sort,0.00000364
Nearly Sorted Data,10,Bubble Sort,0.00000621
Nearly Sorted Data,10,Bubble Sort,0.00000544
Nearly Sorted Data,10,Bubble Sort,0.00000260
