List Type,List Size,Algorithm,Run Time
Random Data,10,Bubble Sort,0.00001245
Random Data,10,Bubble Sort,0.00001187
Random Data,10,Bubble Sort,0.00001000
Random Data,10,Bubble Sort,0.00001317
Random Data,10,Bubble Sort,0.00000664
Random Data,10,Bubble Sort,0.00000978
Random Data,10,Bubble Sort,0.00001133
Random Data,10,Bubble Sort,0.00000849
Random Data,10,Bubble Sort,0.00001042
Random Data,10,Bubble Sort,0.00001464
Random Data,10,Bubble Sort,0.00000922
Random Data,10,Bubble Sort,0.00001365
Random Data,10,Bubble Sort,0.00001016
Random Data,10,Bubble Sort,0.00000974
Random Data,10,Bubble Sort,0.00013512
Random Data,10,Bubble Sort,0.00001491
Random Data,10,Bubble Sort,0.00001464
Random Data,10,Bubble Sort,0.00001143
Random Data,10,Bubble Sort,0.00001284
Random Data,10,Bubble Sort,0.00001265
Random Data,10,Bubble Sort,0.00001244
Random Data,10,Bubble Sort,0.00001298
Random Data,10,Bubble Sort,0.00001117
Random Data,10,Bubble Sort,0.00001195
Random Data,10,Bubble Sort,0.00001296
Random Data,10,Bubble Sort,0.00001081
Random Data,10,Bubble Sort,0.00001391
Random Data,10,Bubble Sort,0.00001186
Random Data,10,Bubble Sort,0.00001165
Random Data,10,Bubble Sort,0.00001374
Random Data,10,Bubble Sort,0.00001391
Random Data,10,Bubble Sort,0.00001580
Random Data,10,Bubble Sort,0.00001306
Random Data,10,Bubble Sort,0.00001294
Random Data,10,Bubble Sort,0.00000949
Random Data,10,Bubble Sort,0.00001471
Random Data,10,Bubble Sort,0.00001381
Random Data,10,Bubble Sort,0.00001230
Random Data,10,Bubble Sort,0.00001177
Random Data,10,Bubble Sort,0.00001117
Random Data,10,Bubble Sort,0.00000896
Random Data,10,Bubble Sort,0.00001353
Random Data,10,Bubble Sort,0.00001361
Random Data,10,Bubble Sort,0.00001205
Random Data,10,Bubble Sort,0.00001177
Random Data,10,Bubble Sort,0.00000925
Random Data,10,Bubble Sort,0.00001226
Random Data,10,Bubble Sort,0.00001203
Random Data,10,Bubble Sort,0.00000926
Random Data,10,Bubble Sort,0.00000666
Random Data,10,Bubble Sort,0.00000626
Random Data,10,Bubble Sort,0.00000825
Random Data,10,Bubble Sort,0.00000739
Random Data,10,Bubble Sort,0.00000755
Random Data,10,Bubble Sort,0.00000757
Random Data,10,Bubble Sort,0.00000612
Random Data,10,Bubble Sort,0.00000906
Random Data,10,Bubble Sort,0.00000769
