List Type,List Size,Algorithm,Run Time
Reverse Ordered Data,10,Bubble Sort,0.00001791
Reverse Ordered Data,10,Bubble Sort,0.00001319
Reverse Ordered Data,10,Bubble Sort,0.00001260
Reverse Ordered Data,10,Bubble Sort,0.00001276
Reverse Ordered Data,10,Bubble Sort,0.00001299
Reverse Ordered Data,10,Bubble Sort,0.00001237
Reverse Ordered Data,10,Bubble Sort,0.00001252
Reverse Ordered Data,10,Bubble Sort,0.00001235
Reverse Ordered Data,10,Bubble Sort,0.00001260
Reverse Ordered Data,10,Bubble Sort,0.00001227
Reverse Ordered Data,10,Bubble Sort,0.00001238
Reverse Ordered Data,10,Bubble Sort,0.00001267
Reverse Ordered Data,10,Bubble Sort,0.00001244
Reverse Ordered Data,10,Bubble Sort,0.00001216
Reverse Ordered Data,10,Bubble Sort,0.00001265
Reverse Ordered Data,10,Bubble Sort,0.00001757
Reverse Ordered Data,10,Bubble Sort,0.00001359
Reverse Ordered Data,10,Bubble Sort,0.00001256
Reverse Ordered Data,10,Bubble Sort,0.00001281
Reverse Ordered Data,10,Bubble Sort,0.00001253
Reverse Ordered Data,10,Bubble Sort,0.00001289
Reverse Ordered Data,10,Bubble Sort,0.00001234
Reverse Ordered Data,10,Bubble Sort,0.00001236
Reverse Ordered Data,10,Bubble Sort,0.00001256
Reverse Ordered Data,10,Bubble Sort,0.00001232
Reverse Ordered Data,10,Bubble Sort,0.00001218
Reverse Ordered Data,10,Bubble Sort,0.00001239
Reverse Ordered Data,10,Bubble Sort,0.00001271
Reverse Ordered Data,10,Bubble Sort,0.00001262
Reverse Ordered Data,10,Bubble Sort,0.00001248
Reverse Ordered Data,10,Bubble Sort,0.00001267
Reverse Ordered Data,10,Bubble Sort,0.00001391
Reverse Ordered Data,10,Bubble Sort,0.00001222
Reverse Ordered Data,10,Bubble Sort,0.00001194
Reverse Ordered Data,10,Bubble Sort,0.00001165
Reverse Ordered Data,10,Bubble Sort,0.00001179
Reverse Ordered Data,10,Bubble Sort,0.00001205
Reverse Ordered Data,10,Bubble Sort,0.00001176
Reverse Ordered Data,10,Bubble Sort,0.00001162
Reverse Ordered Data,10,Bubble Sort,0.00001218
Reverse Ordered Data,10,Bubble Sort,0.00001172
Reverse Ordered Data,10,Bubble Sort,0.00001210
Reverse Ordered Data,10,Bubble Sort,0.00001196
Reverse Ordered Data,10,Bubble Sort,0.00001159
Reverse Ordered Data,10,Bubble Sort,0.00001178
Reverse Ordered Data,10,Bubble Sort,0.00001177
Reverse Ordered Data,10,Bubble Sort,0.00001174
Reverse Ordered Data,10,Bubble Sort,0.00001172
