List Type,List Size,Algorithm,Run Time
Ordered Data,10,Bubble Sort,0.00000495
Ordered Data,10,Bubble Sort,0.00000235
Ordered Data,10,Bubble Sort,0.00000174
Ordered Data,10,Bubble Sort,0.00000282
Ordered Data,10,Bubble Sort,0.00000329
Ordered Data,10,Bubble Sort,0.00000203
Ordered Data,10,Bubble Sort,0.00000175
Ordered Data,10,Bubble Sort,0.00000176
Ordered Data,10,Bubble Sort,0.00000159
Ordered Data,10,Bubble Sort,0.00000158
Ordered Data,10,Bubble Sort,0.00000146
Ordered Data,10,Bubble Sort,0.00000158
Ordered Data,10,Bubble Sort,0.00000163
Ordered Data,10,Bubble Sort,0.00000157
Ordered Data,10,Bubble Sort,0.00000151
Ordered Data,10,Bubble Sort,0.00000174
Ordered Data,10,Bubble Sort,0.00000153
Ordered Data,10,Bubble Sort,0.00000151
Ordered Data,10,Bubble Sort,0.00000176
Ordered Data,10,Bubble Sort,0.00000149
Ordered Data,10,Bubble Sort,0.00000153
Ordered Data,10,Bubble Sort,0.00000174
Ordered Data,10,Bubble Sort,0.00000154
Ordered Data,10,Bubble Sort,0.00000157
Ordered Data,10,Bubble Sort,0.00000159
Ordered Data,10,Bubble Sort,0.00000171
Ordered Data,10,Bubble Sort,0.00000193
Ordered Data,10,Bubble Sort,0.00000157
Ordered Data,10,Bubble Sort,0.00000165
Ordered Data,10,Bubble Sort,0.00000148
Ordered Data,10,Bubble Sort,0.00000168
Ordered Data,10,Bubble Sort,0.00000174
Ordered Data,10,Bubble Sort,0.00000184
Ordered Data,10,Bubble Sort,0.00000153
Ordered Data,10,Bubble Sort,0.00000154
Ordered Data,10,Bubble Sort,0.00000161
Ordered Data,10,Bubble Sort,0.00000173
Ordered Data,10,Bubble Sort,0.00000149
Ordered Data,10,Bubble Sort,0.00000151
Ordered Data,10,Bubble Sort,0.00000157
Ordered Data,10,Bubble Sort,0.00000164
Ordered Data,10,Bubble Sort,0.00000153
Ordered Data,10,Bubble Sort,0.00000155
Ordered Data,10,Bubble Sort,0.00000153
